place_id,place_name,place_region1,place_region2,place_region3,issued_place,location_keyword,feeling,in_out
1,백마강,충청남도,Buyeo,부여읍 나루터로 72,1,강,보통,out
2,성흥산성,충청남도,Buyeo,성흥로 97번길 167,1,역사 산,보통,out
3,미암사,충청남도,Buyeo,내산면 성충로미암길 128,1,종교 산 힐링,보통,out
4,부소산성,충청남도,Buyeo,부여읍 성왕로 247-9,1,역사 산,보통,out
5,백제문화단지,충청남도,Buyeo,규암면 백제문로 455,1,역사 체험,좋음,in out
6,궁남지,충청남도,Buyeo,부여읍 동남리,1,역사 호수 힐링,좋음,out
7,오천항,충청남도,Boryeong,오천면 오천해안로 782-5,1,바다,나쁨,out
8,오서산 자연 휴양림,충청남도,Boryeong,청라면 오서산길 524,1,산 힐링,좋음,out
10,고대도,충청남도,Boryeong,오천면 고대도1길 41-6,1,바다 체험 힐링,보통,out
12,청보리밭 폐목장,충청남도,Boryeong,천북면 천광로 73-2,1,사진 산책 힐링,좋음,out
14,칠갑산 도립 공원,충청남도,Cheongyang,대치면 장곡길 241,1,산 힐링,보통,out
15,청양 알프스 마을,충청남도,Cheongyang,정산면 천장호길 223-35,1,문화 산 호수 체험,보통,in out
16,홍천 동키 마을,강원도,Hongcheon,화천면 구룡령로 170,1,문화 체험,보통,in out
17,홍천 은행 나무 숲,강원도,Hongcheon,내면 달둔길 9-25,1,힐링 산책 사진,나쁨,out
18,홍천 중앙시장,강원도,Hongcheon,홍천읍 꽃뫼로 112,1,유명 시장 음식,좋음,in
20,척야산 문화 수목원,강원도,Hongcheon,내촌면 동창로 282,1,산 산책 힐링,보통,out
21,안흥찐빵 모락모락마을,강원도,Hoengseong,안흥면 주천강로 1868,1,음식 문화,보통,in out
22,풍수원 성당,강원도,Hoengseong,서원면 경강로유현1길 30,1,종교 사진,보통,in
23,청태산 자연휴양림,강원도,Hoengseong,둔내면 청태산로 610,1,산책 힐링 산,나쁨,out
24,태기산,강원도,Hoengseong,둔내면 화동리 태기산,1,산,좋음,out
25,횡성 호수길,강원도,Hoengseong,갑천면 구방리 산164,1,호수 산책,보통,out
26,영월 중앙시장,강원도,Yeongwol,영월읍 중앙시장길 7,0,시장 음식,좋음,in
27,선돌,강원도,Yeongwol,영월읍 방절리 769-4,0,사진 강 산,좋음,out
28,라디오스타 박물관,강원도,Yeongwol,영월읍 금강공원길 84-3,0,문화 예술,좋음,in
29,청령포,강원도,Yeongwol,남면 광천리 산 67-1,0,역사 강 사진,보통,out
30,문경새재도립공원,경상북도,Mungyeong,문경읍 새재로 932,0,산 공원 산책 역사,보통,out
32,문경 전통시장,경상북도,Mungyeong,문경읍 주흘로 31,0,시장 음식,보통,in
33,문경 오미자 테마 터널,경상북도,Mungyeong,문경대로 1356-1,0,문화 사진,보통,in
35,황학산 수목원,경기도,Yeoju,황학산수목원길 73,1,산 산책,보통,out
36,강천섬,경기도,Yeoju,강천면 강천리길 88,1,강 힐링 산책,좋음,in out
37,영월루,경기도,Yeoju,주내로 13,1,역사 힐링 강,좋음,in
39,신륵사,경기도,Yeoju,신륵사길 73,1,종교 산,나쁨,in
40,용문산 관광단지,경기도,Yangpyeong,용문면 신점리 515-2,1,체험 산 종교,좋음,in out
41,수풀로 양수리 수변공원,경기도,Yangpyeong,양서면 양수리 552-6,1,힐링 사진 산책,좋음,out
44,퍼플섬(박지도 매표소),전라남도,Sinan,안좌면 소곡리 599-4,0,바다 체험 사진,나쁨,out
45,천사섬분재공원,전라남도,Sinan,압해읍 무지개길 330,0,바다 힐링 산책 사진,보통,out
46,1004뮤지엄파크,전라남도,Sinan,자은면 자은서부2길 508-65,0,공원 힐링 산책,보통,in out
47,불갑저수지 수변공원,전라남도,Yeonggwang,불갑면 방마로 167,0,공원 힐링 산책,나쁨,out
48,영광칠산타워,전라남도,Yeonggwang,염산면 항화로 2-10,0,바다 유명,나쁨,in
49,계마항,전라남도,Yeonggwang,홍농읍 계마길 31-59,0,바다,나쁨,out
50,백마위해변,전라남도,Yeonggwang,염산면 두우리,0,바다 산책,나쁨,out
51,가마미 해수욕장,전라남도,Yeonggwang,홍농읍 가마미로 341-6,0,바다 유명,나쁨,out
52,불갑사,전라남도,Yeonggwang,영광군 불갑면 모약리 401-1,0,산 종교 힐링,보통,in
53,정암루,경상남도,Uiryeong,의령읍 남강로 686 정암루,0,강 역사 사진 힐링,보통,in
54,불국사,경상북도,Gyeongju,불국로 385,0,산 종교 역사 힐링 유명 사진,좋음 보통,in out
55,경복궁,서울특별시,Seoul,사직로 161,0,유명 역사 체험 사진 예술,좋음 보통,in out
57,안압지,경상북도,Gyeongju,인왕동,0,호수 역사 힐링 사진 유명,좋음 보통,out
58,협재 해수욕장,제주특별자치도,Jeju,한림읍 협재리 2497-1,0,바다 음식 유명 힐링,좋음 보통 나쁨,out
59,청도 소싸움 경기장,경상북도,Cheongdo,화양읍 남성현로 348,0,문화 체험,좋음,in out
60,대관령 양떼목장,강원도,Pyeongchang,대관령면 대관령마루길 483-32,0,산 체험 유명 사진,좋음 보통 나쁨,out
61,보성 녹차밭 대한 다원,전라남도,Boseong,녹차로 763-43,0,산 체험 사진,좋음 보통 나쁨,out
62,여좌천,경상남도,Changwon,진해구 여좌동 217,0,공원 힐링 사진 유명,좋음 보통,out
63,낙안읍성 민속마을,전라남도,Suncheon,낙안면 충민길 30,0,역사 산책 유명 체험,좋음 보통,out
64,담양 죽녹원,전라남도,Damyang,담양읍 향교리 282,0,공원 산책 힐링,좋음 보통 나쁨,out
65,지리산 천왕봉,경상남도,Sancheong,중산리 시천면,0,산 유명,좋음,out
66,해인사,경상남도,Hapcheon,가야면 해인사길 122,0,산 종교 힐링,좋음 보통 나쁨,in
67,우도,제주특별자치도,Jeju,우도면 연평리,0,바다 유명 음식 사진 체험,좋음 보통 나쁨,in out
68,섭지코지,제주특별자치도,Seogwipo,성산읍 섭지코지로 107,0,바다 산책 유명 사진 힐링,좋음 보통,out
69,우포늪,경상남도,Changnyeong,유어면 우포늪길 220,0,호수 산책 힐링,좋음,out
70,경화역 벚꽃길,경상남도,Changwon,진해구 진해대로 648,0,공원 힐링 사진 유명,좋음 보통,out
71,광안대교,부산광역시,Busan,민락동,0,바다 유명 사진,좋음 보통,out
72,꽃지해수욕장,충청남도,Taean,안면읍 승언리,0,바다 힐링 산책,좋음 보통,out
73,성산 일출봉,제주특별자치도,Seogwipo,성산읍 성산리 1,0,바다 역사 유명 사진,좋음 보통,out
74,국립 과천 과학관,경기도,Gwacheon,과천동 706,1,역사 문화 체험,좋음 보통,in
75,서울대공원,경기도,Gwacheon,대공원광장로 102,1,유명 체험 레저,좋음 보통,in out
76,서울 경마 공원,경기도,Gwacheon,경마공원대로 107,1,체험,좋음 보통,in out
77,서울랜드,경기도,Gwacheon,광명로 181,1,유명 체험 레저,좋음 보통,in out
78,대구수목원,대구광역시,Daegu,화암로 342 대구수목원 관리사무소,1,공원 힐링 산책,좋음 보통,out
79,대구삼성라이온즈파크,대구광역시,Daegu,야구전설로 1,1,문화 레저 유명,좋음 보통,out
80,수성못,대구광역시,Daegu,두산동 512,1,호수 유명 산책 힐링,좋음 보통 나쁨,out
81,대구 두류 공원,대구광역시,Daegu,공원순환로 36,1,공원 산책,좋음 보통 나쁨,out
82,김광석 길,대구광역시,Daegu,달구벌대로 450길,1,음식 산책,좋음 보통,out
83,앞산공원,대구광역시,Daegu,앞산순환로 574-116,1,공원 산책 산 유명,좋음 보통 나쁨,out
84,서문 시장,대구광역시,Daegu,큰장로 26길 45,1,음식 시장 유명,좋음 보통 나쁨,in out
85,이월드,대구광역시,Daegu,두류공원로 200,1,공원 레저 유명,좋음 보통,in out
86,대왕암 공원,울산광역시,Ulsan,일산동 산907,1,바다 공원 산책 힐링,좋음 보통,out
87,울산 대공원,울산광역시,Ulsan,대공원로 94,1,공원 산책 힐링,좋음 보통,out
88,태화강 십리대밭,울산광역시,Ulsan,태화동 107,1,강 공원 산책,좋음 보통 나쁨,out
89,태화강 국가정원,울산광역시,Ulsan,태화동 107,1,강 공원 산책,좋음 보통 나쁨,out
91,염포산,울산광역시,Ulsan,전하동 염포산,1,산 산책,좋음,out
92,해운대,부산광역시,Busan,우동,1,바다 유명 사진,좋음 나쁨,out
93,광안리해수욕장,부산광역시,Busan,광안해변로 219,1,바다 유명,좋음 보통,out
94,감천 문화마을,부산광역시,Busan,감내2로 203,1,산 사진 유명 문화,좋음 보통,in out
95,태종대,부산광역시,Busan,전망로 24,1,바다 산책,좋음,out
96,오륙도 스카이워크,부산광역시,Busan,오륙도로 137,1,바다 산책 체험,좋음,out
97,해동 용궁사,부산광역시,Busan,용궁길 86 해동 용궁사,1,바다 역사 종교 유명 힐링,좋음 보통 나쁨,in out
98,거제도포로수용소유적공원,경상남도,Geoje,계룡로 61,1,역사 유명 체험,좋음,out
99,바람의언덕,경상남도,Geoje,남부면 갈곶리 산14-47,1,바다 사진 힐링 산책,좋음 보통,out
100,신선대,경상남도,Geoje,남부면 갈곶리 산21-23,1,바다 힐링 산책,좋음 보통,out
101,외도 해상농원,경상남도,Geoje,일운면 외도길 17,1,바다 산책 힐링 유명 공원,좋음 보통 나쁨,in out
102,학동몽돌해변,경상남도,Geoje,경남 거제시 동부면 학동리,1,바다 힐링 유명,좋음 보통 나쁨,out
103,매물도,경상남도,Tongyeong,한산면 매죽리,1,바다 힐링,좋음 보통,out
104,스카인라인 루지 통영,경상남도,Tongyeong,발개로 178,1,산 체험 레저,좋음 보통 나쁨,in out
105,미륵산,경상남도,Tongyeong,봉평동 산 19-1,1,산,좋음,out
106,한려수도 조망 케이블카,경상남도,Tongyeong,도남동 349-1,1,바다 유명 체험,좋음 보통 나쁨,in
107,동피랑마을,경상남도,Tongyeong,동피랑1길 6-18,1,산책 힐링 사진,좋음 보통,in out
108,오동도,전라남도,Yeosu,수정동,1,바다 산책 사진 힐링,좋음,out
109,향일암,전라남도,Yeosu,돌산읍 향일암로 1,1,바다 산,좋음,out
112,진도타워,전라남도,Jindo,군내면 만금길 112-41,1,바다 사진,좋음 보통,in
113,운림산방,전라남도,Jindo,의신면 운림산방로 315,1,역사 힐링,좋음 보통 나쁨,In out
114,진도 신비의바닷길축제,전라남도,Jindo,고금면 금계리 1212-31,1,바다 체험,좋음 보통,out
115,생각하는 정원,제주특별자치도,Jeju,한경면 녹차분재로 675,0,공원 체험 산책 힐링,좋음 보통 나쁨,out
116,제주 올레길,제주특별자치도,Jeju,,0,유명 산책 힐링,좋음 보통 나쁨,out
117,에버랜드,경기도,Yongin,처인구 포곡읍 래버랜드로 199,0,공원 힐링 레저 산책 체험 유명,좋음 보통,in out
118,DMZ,경기도,Paju,군내면 조산리,0,역사 체험,좋음 보통,out
119,수원화성,경기도,Suwon,장안구 영화동 320-2,0,역사 음식 체험 유명 사진,좋음 보통 나쁨,out
121,북한산 국립공원,경기도,Goyang,덕양구 효자동 산 1-1,0,산 유명,좋음,out
122,전주 한옥 마을,전라북도,Jeonju,완산구 풍남동3가 64-1,0,역사 문화 음식 유명 산책,좋음 보통 나쁨,in out
123,창덕궁,서울특별시,Seoul,율곡로 99,0,역사 산책 힐링 유명,좋음 보통 나쁨,in out
124,아침 고요 수목원,경기도,Gapyeong,수목원로 432,0,산 유명 산책 힐링,좋음 보통 나쁨,out
125,국립중앙박물관,서울특별시,Seoul,서빙고로 137,0,역사 유명 체험,좋음 보통,in
126,순천만 습지,전라남도,Suncheon,순천만길 513-25,0,바다 공원 힐링 산책 사진 유명,좋음 보통 나쁨,out
127,국립 부여 박물관,충청남도,Buyeo,부여읍 금성로 5,1,역사 체험,좋음 보통 나쁨,in
128,부여 정림사지,충청남도,Buyeo,부여읍 동남리,1,역사 문화 힐링,좋음 보통,out
129,금성산성,전라남도,Damyang,금성면 금성산성 1길 10,1,산 사진,좋음 보통,out
130,한국 대나무 박물관,전라남도,Damyang,담양읍 죽향문화로 35,0,역사 체험,좋음 보통,in
131,담양 메타세쿼이아길,전라남도,Damyang,담양읍 학동리 633,0,강 산책 힐링 사진,좋음 보통 나쁨,out
132,백양사,전라남도,Jangseong,북하면 백양로 1239 대웅전,0,산 종교 힐링,좋음 보통,in
133,국립나주박물관,전라남도,Naju,반남면 고분로 747,0,역사 문화 체험,좋음 보통,in
134,나주 금성관,전라남도,Naju,금성관길 8,0,역사,좋음 보통,out
135,빛가람호수공원전망대,전라남도,Naju,호수로 77,0,호수 사진,좋음 보통,in
136,맹종죽테마파크,경상남도,Geoje,하청면 거제북로 700,0,바다 공원 체험 사진,좋음 보통,in out
138,공곶이,경상남도,Geoje,일운면 와현리,0,바다 산책 사진 힐링,좋음 보통,out
139,매미성,경상남도,Geoje,장목면 복항길,0,바다 역사 사진,좋음 보통,out
141,이순신 광장,전라남도,Yeosu,선어시장길 6,0,바다 유명 사진 음식,보통 나쁨,out
142,여수 해상케이블카,전라남도,Yeosu,돌산읍 돌산로 3600-1,0,바다 유명 사진 레저,좋음 보통,in out
143,여수 수산시장,전라남도,Yeosu,여객선터미널길 24,0,바다 시장 유명 음식,좋음 보통,in
145,낭만포차로,전라남도,Yeosu,하멜로 102 거북선대교아래,0,바다 유명 음식 사진,좋음 보통 나쁨,out
146,돌산 공원,전라남도,Yeosu,돌산읍 우두리 산355-1,0,바다 공원 사진 힐링,좋음 보통,out
147,만성리검은모래해변,전라남도,Yeosu,만흥동,0,바다 산책 사진 힐링,좋음 보통,out
148,양동 민속 마을,경상북도,Gyeongju,양동리 125,1,강 문화 체험,좋음 보통,in out
149,성동시장,경상북도,Gyeongju,동문로24번길 12,1,시장 음식,좋음 보통,in
150,경주세계문화엑스포공원,경상북도,Gyeongju,경감로 614,1,공원 유명 체험,좋음 보통,out
151,계림,경상북도,Gyeongju,교동,1,공원 역사 문화 사진 체험 힐링,좋음 보통,out
152,국립경주박물관,경상북도,Gyeongju,일정로 186 국립경주박물관,1,역사 문화 체험,좋음 보통 나쁨,in
153,경주역사유적지구,경상북도,Gyeongju,황남동,1,역사 문화 체험,좋음 보통,out
154,경주 교촌마을,경상북도,Gyeongju,교동 59-3,1,역사 문화 체험,좋음 보통,in out
155,죽도 시장,경상북도,Pohang,북구 죽도시장13길 13 포항수산종합어시장,0,바다 시장 음식,좋음 보통,in
156,호미곶 해맞이 광장,경상북도,Pohang,남구 호미곶면 대보리,0,바다 유명 힐링,좋음 보통 나쁨,out
157,구룡포근대역사거리,경상북도,Pohang,구룡포길 153-1,0,역사 문화,좋음 보통,in
158,영일대해수욕장,경상북도,Pohang,북구 두호동 685-1,0,바다 힐링 산책,좋음 보통,out
159,성류굴,경상북도,Uljin,근남면 성류굴로 221,1,역사 체험 사진,좋음 보통,out
160,망양정,경상북도,Uljin,근남면 산포리,1,역사 힐링 사진 산책,좋음 보통,in
161,불영사,경상북도,Uljin,금강송면 하원리 산34,1,산 종교 힐링,좋음 보통,in
162,용화 해수욕장,강원도,Samcheok,근덕면,1,바다,좋음 보통,in out
163,장호항,강원도,Samcheok,근덕면 장호리,1,바다,좋음 보통 나쁨,out
165,죽서루,강원도,Samcheok,죽서루길 37,0,강 역사 힐링 사진,좋음 보통,in out
166,영녕릉,경기도,Yeoju,능서면 왕대리 산83-1,1,강 역사 힐링,좋음 보통,out
167,남한산성,경기도,Gwangju,남한산성면 산성리 산23,1,산 유명 사진,좋음 보통,out
168,화담숲,경기도,Gwangju,도척면 도척윗로 278,1,산 사진 힐링,좋음 보통,out
170,충주 세계 무술공원,충청북도,Chungju,남한강로 24,0,공원 체험 산책 사진,보통,out
171,수안보 벚꽃길,충청북도,Chungju,수안보면 온천리 210-4,0,강 산책 힐링 사진,좋음 보통 나쁨,out
172,계명산 자연휴양림,충청북도,Chungju,종민동 165,0,산 힐링,좋음 보통 나쁨,out
173,무학시장,충청북도,Chungju,무학1길 15,0,시장 음식,보통,in
120,경포해변,강원도,Gangneung,강문동 산1-1,1,바다 유명 산책,좋음,out
175,오죽헌,강원도,Gangneung,율곡로3139번길 24 오죽헌,1,강 역사 산책,좋음,in
176,정동진,강원도,Gangneung,강동면 정동진리,1,바다 유명 음식,좋음 보통 나쁨,out
177,안목 해수욕장,강원도,Gangneung,창해로14번길 20-1,1,바다 유명 음식,좋음 나쁨,out
178,강릉 선교장,강원도,Gangneung,운정길 63 선교장,1,강 체험 역사 문화 사진 힐링,보통,in out
179,정동심곡 바다부채길,강원도,Gangneung,강동면 심곡리 114-3,1,바다 산책 사진 힐링,좋음 나쁨,out
180,강릉중앙시장,강원도,Gangneung,금성로 21,1,바다 유명,좋음 나쁨,in out
181,모래 시계 공원,강원도,Gangneung,정동진리 2,1,바다 유명,좋음 보통 나쁨,out
182,주문진항,강원도,Gangneung,주문진읍 시장1길 4-1,1,바다 유명,좋음 나쁨,out
183,영진해변,강원도,Gangneung,연곡면 해안로,1,바다 산책 힐링,좋음 나쁨,out
184,묵호항,강원도,Donghae,묵호진동,1,바다,보통,out
185,묵호등대 해양문화공간,강원도,Donghae,동해 논골담길,1,바다 문화,보통,in out
186,삼화사,강원도,Donghae,삼화로 584 삼화사,1,산 종교 힐링,좋음,in out
187,무릉계곡,강원도,Donghae,삼화로 584 삼화사,1,산 힐링,좋음,out
188,추암해수욕장,강원도,Donghae,북평동,1,바다,좋음,out
189,촛대 바위,강원도,Donghae,추암동 산69,0,바다 유명 사진,좋음,out
190,천곡천연동굴,강원도,Donghae,동굴로 50,0,체험 사진,좋음 보통,in
191,주왕산국립공원,강원도,Cheongsong,주왕산면 공원길 169-7,0,산 힐링,좋음 보통,out
192,주산지,강원도,Cheongsong,부동면 주산지길 163,0,호수 사진 힐링,좋음 보통,out
193,영덕 해맞이 공원,강원도,Yeongdeok,영덕읍 대탄리,0,바다 유명 힐링,좋음 보통 나쁨,out
194,삼사해상공원,강원도,Yeongdeok,강구면 삼사리 185-1,0,바다,좋음 보통 나쁨,out
195,괴시리 전통마을,강원도,Yeongdeok,영해면 호지마을1길 11-2,0,역사 문화 체험,좋음 보통 나쁨,in out
196,영덕대게마을,강원도,Yeongdeok,영덕대게로 68,0,바다 음식 유명,좋음 보통 나쁨,in out
197,낙산 해수욕장,강원도,Yangyang,강현면 해맞이길 59,0,바다,좋음 보통 나쁨,out
198,낙산사,강원도,Yangyang,강현면 낙산사로 100,0,바다 종교 힐링,좋음 보통 나쁨,in out
200,오색 탄산온천,강원도,Yangyang,서면 대청봉길 34,0,문화 체험 힐링,좋음 보통 나쁨,in
201,하조대,강원도,Yangyang,현북면 하광정리,0,바다 역사 사진,좋음 보통 나쁨,out
203,이천도예마을,경기도,Icheon,신둔면 수광리 317-3,0,문화 체험 힐링,좋음 보통,in out
204,국제시장,부산광역시,Busan,국제시장2길 38,1,시장 음식 유명,좋음 보통,in out
205,자갈치 시장,부산광역시,Busan,자갈치해안로 52 자갈치시장,1,시장 음식 유명,좋음 보통,in out
206,용두산 공원,부산광역시,Busan,용두산길 37-55,1,공원 산책 힐링,좋음 보통,in out
207,UN기념공원,부산광역시,Busan,유엔평화로 93,1,공원 역사 산책 힐링,좋음 보통,out
208,해운대 달맞이길,부산광역시,Busan,달맞이길 190,1,산책 힐링,좋음 보통,out
209,BIFF 광장,부산광역시,Busan,비프광장로 36,1,공원 유명 음식,좋음 보통,out
210,민락수변공원,부산광역시,Busan,민락수변로 129,1,바다 공원 산책,좋음 보통,out
211,서면 먹자 골목,부산광역시,Busan,부전동,1,음식,좋음 보통,in out